Id,Price,Latitude,Longitude,Surface_built,Surface_useful,Bedrooms,Bathrooms,Type,Condition,Partitioning,BuildingYear
80EA03A9-1612-41B9-20B7-08D90338E4D9,350,47.15498,27.57527,58,48,2,1,apartament,utilizat,semidecomandat,1964
9F8F94FE-851D-4478-20B9-08D90338E4D9,280,47.15708,27.62559,58,58,2,1,apartament,renovat,decomandat,2010
199A91D5-DE53-4D09-20BA-08D90338E4D9,250,47.16708,27.54724,58,58,2,1,apartament,utilizat,decomandat,1980
2600C402-96E7-4C3A-20BE-08D90338E4D9,330,47.16336,27.5937,58,58,2,1,apartament,renovat,decomandat,1990
A424D1B5-A718-4C5C-20BF-08D90338E4D9,299,47.16173,27.57581,58,58,2,1,apartament,renovat,decomandat,2018
19BDC5E9-2BD2-424D-20C7-08D90338E4D9,300,47.1366,27.58211,57,51,2,1,apartament,renovat,decomandat,1984
7177065A-F277-420F-20CA-08D90338E4D9,300,47.16021,27.5851,57,57,2,1,apartament,renovat,decomandat,1987
E2642B7E-FE9B-4FA1-20CB-08D90338E4D9,370,47.15113,27.6244,57,57,2,1,apartament,nou,decomandat,2018
99FCB660-94ED-4FB2-20DA-08D90338E4D9,290,47.17509,27.59775,56,56,2,1,apartament,renovat,semidecomandat,2019
370B1F3A-3835-4C6C-20DB-08D90338E4D9,350,47.15671,27.59068,56,56,2,1,apartament,utilizat,decomandat,1980
707FA53E-2141-4B84-20DC-08D90338E4D9,300,47.14571,27.57535,56,50,2,1,apartament,renovat,decomandat,1980
E6D640F9-6029-4F0B-20DD-08D90338E4D9,330,47.16309,27.56471,56,50,2,1,apartament,renovat,decomandat,1977
EEE98D7B-3DFC-4578-20E3-08D90338E4D9,299,47.15057,27.58961,56,50,2,1,apartament,renovat,nedecomandat,1970
18B50A9D-6443-44FD-20E4-08D90338E4D9,300,47.1624,27.6015,56,56,2,1,apartament,utilizat,decomandat,1990
E024874F-3D62-4E9E-20E6-08D90338E4D9,203,47.16697,27.54727,55,50,2,1,apartament,utilizat,decomandat,1970
49406930-7289-40EA-20E7-08D90338E4D9,350,47.13565,27.58714,55,55,2,1,apartament,renovat,decomandat,1982
